date,metric,value
2024-01-01,headcount,320
2024-02-01,headcount,315
2024-03-01,headcount,308
2024-04-01,headcount,302
2024-05-01,headcount,297
2024-06-01,headcount,289
2024-07-01,headcount,284
2024-08-01,headcount,278
2024-09-01,headcount,271
2024-10-01,headcount,265
2024-11-01,headcount,260
2024-12-01,headcount,254
2024-01-01,attrition_rate_pct,2.1
2024-02-01,attrition_rate_pct,2.4
2024-03-01,attrition_rate_pct,2.8
2024-04-01,attrition_rate_pct,3.0
2024-05-01,attrition_rate_pct,3.3
2024-06-01,attrition_rate_pct,3.7
2024-07-01,attrition_rate_pct,3.5
2024-08-01,attrition_rate_pct,3.9
2024-09-01,attrition_rate_pct,4.1
2024-10-01,attrition_rate_pct,4.4
2024-11-01,attrition_rate_pct,4.6
2024-12-01,attrition_rate_pct,4.8
2024-01-01,time_to_hire_days,28
2024-02-01,time_to_hire_days,30
2024-03-01,time_to_hire_days,33
2024-04-01,time_to_hire_days,35
2024-05-01,time_to_hire_days,38
2024-06-01,time_to_hire_days,41
2024-07-01,time_to_hire_days,40
2024-08-01,time_to_hire_days,44
2024-09-01,time_to_hire_days,46
2024-10-01,time_to_hire_days,49
2024-11-01,time_to_hire_days,51
2024-12-01,time_to_hire_days,54
2024-01-01,open_roles,12
2024-02-01,open_roles,15
2024-03-01,open_roles,18
2024-04-01,open_roles,22
2024-05-01,open_roles,25
2024-06-01,open_roles,29
2024-07-01,open_roles,31
2024-08-01,open_roles,34
2024-09-01,open_roles,37
2024-10-01,open_roles,40
2024-11-01,open_roles,43
2024-12-01,open_roles,47
